"","Comuna","Local","RangoEtario","value"
"1","VILCUN","COLEGIO AMERICA","18-19",31
"2","VILCUN","COLEGIO AMERICA","20-29",244
"3","VILCUN","COLEGIO AMERICA","30-39",435
"4","VILCUN","COLEGIO AMERICA","40-49",550
"5","VILCUN","COLEGIO AMERICA","50-59",657
"6","VILCUN","COLEGIO AMERICA","60-69",505
"7","VILCUN","COLEGIO AMERICA","70-79",305
"8","VILCUN","COLEGIO AMERICA","80+",66
"9","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","18-19",57
"10","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","20-29",234
"11","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","30-39",329
"12","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","40-49",435
"13","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","50-59",430
"14","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","60-69",280
"15","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","70-79",158
"16","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","80+",34
"17","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","18-19",140
"18","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","20-29",820
"19","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","30-39",603
"20","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","40-49",323
"21","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","50-59",278
"22","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","60-69",200
"23","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","70-79",93
"24","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","80+",26
"25","VILCUN","ESCUELA JAPON","18-19",26
"26","VILCUN","ESCUELA JAPON","20-29",113
"27","VILCUN","ESCUELA JAPON","30-39",150
"28","VILCUN","ESCUELA JAPON","40-49",179
"29","VILCUN","ESCUELA JAPON","50-59",220
"30","VILCUN","ESCUELA JAPON","60-69",195
"31","VILCUN","ESCUELA JAPON","70-79",100
"32","VILCUN","ESCUELA JAPON","80+",29
"33","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","18-19",33
"34","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","20-29",216
"35","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","30-39",236
"36","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","40-49",561
"37","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","50-59",653
"38","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","60-69",561
"39","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","70-79",278
"40","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","80+",95
