Candidato,Distrito,Lista,Pacto,Partido,Votos
11 FELIPE DURAN MARTINEZ,9,B,B,AH,6778
12 TOMAS BIZE BRINTRUP,9,B,B,AH,2489
13 ALEJANDRA MOLINA TOBAR,9,B,B,FREVS,4502
14 JAIME NARANJO ORTIZ,9,B,B,IND - FREVS,22035
15 CARLA FERNANDEZ RIFFO,9,B,B,IND - FREVS,2903
16 PAULINA VODANOVIC ROJAS,9,C,C,PS,44427
17 SIXTO GONZALEZ SOTO,9,C,C,PCCH,19009
18 BEATRIZ SANCHEZ MUÑOZ,9,C,C,FA,29724
19 RICARDO LIZAMA SOTO,9,C,C,PPD,4302
20 JUAN CARLOS FIGUEROA URRUTIA,9,C,C,PDC,5102
21 ALEXIS SEPULVEDA SOTO,9,C,C,PR,25218
22 KIM NIKKI GUTIERREZ ULLOA,9,G,G,PAVP,4911
23 CARLOS EUGENIO RAVERA FERNANDEZ,9,G,G,PAVP,2750
24 MARIO CAMPOS ROJAS,9,I,I,PDG,22937
25 CLAUDIA SOSA FLORES,9,I,I,PDG,11656
26 PAULINA MIRANDA BARRIGA,9,I,I,PDG,11992
27 CECILIA GONZALEZ BELLO,9,I,I,PDG,6118
28 YENNY SOTO AVENDAÑO,9,J,J,PDG,4083
29 IAN MAC-NIVEN CARLSSON,9,J,J,IND - DEMOCRATAS,4296
30 HUGO REY MARTINEZ,9,J,J,RN,25188
31 ANDREA BALLADARES LETELIER,9,J,J,RN,26946
32 PATRICIA LABRA BESSERER,9,J,J,IND - UDI,8309
33 JUAN ANTONIO COLOMA ALAMOS,9,J,J,UDI,38172
34 JUAN CASTRO PRIETO,9,K,K,PSC,25408
35 CAMILA SOTO RODRIGUEZ,9,K,K,PSC,7548
36 FELIPE GONZALEZ LOPEZ,9,K,K,PSC,6384
37 IGNACIO URRUTIA BONILLA,9,K,K,REPUBLICAN,25490
38 CRISTIAN VIAL MACERATTA,9,K,K,IND - REPUBLICAN,107717
39 PABLO CATALAN RAMIREZ,9,K,K,PNL,12662
40 JUAN FRANCISCO PULGAR CASTILLO,9,IND,IND,IND,30635
