Eleccion,Distrito,Partido,Votacion,Perc
Gob2024,DISTRITO 23,FRENTE AMPLIO,43242,10.08
Gob2024,DISTRITO 22,FRENTE AMPLIO,27590,14.52
CC2023,DISTRITO 23,CONVERGENCIA SOCIAL,15030,4.1000000000000005
CC2023,DISTRITO 23,REVOLUCION DEMOCRATICA,15803,4.32
CC2023,DISTRITO 22,CONVERGENCIA SOCIAL,3126,1.8599999999999999
CC2023,DISTRITO 22,REVOLUCION DEMOCRATICA,3256,1.94
Dip2021,DISTRITO 23,REVOLUCION DEMOCRATICA,15308,6.36
Dip2021,DISTRITO 22,REVOLUCION DEMOCRATICA,2959,2.75
Dip2017,DISTRITO 23,PARTIDO HUMANISTA,13203,5.88
Dip2017,DISTRITO 22,PARTIDO HUMANISTA,6580,6.08
