Eleccion,Pacto,Votacion,Perc
2024,F,62613,10.12
2024,P,47267,7.64
2024,Z,168434,27.22
2024,ZZI,269682,43.580000000000005
2023,CHILE SEGURO,150444,28.16
2023,INDEPENDIENTES,38285,7.17
2023,PARTIDO DE LA GENTE,26077,4.88
2023,PARTIDO REPUBLICANO DE CHILE,201906,37.79
2023,TODO POR CHILE,30120,5.64
2021,CHILE PODEMOS +,122186,35.07
2021,DIGNIDAD AHORA,26999,7.75
2021,FRENTE SOCIAL CRISTIANO,61741,17.72
2021,INDEPENDIENTES UNIDOS,9967,2.86
2021,NUEVO PACTO SOCIAL,51549,14.799999999999999
2021,PARTIDO DE LA GENTE,22995,6.6000000000000005
2021,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,2682,0.77
2021,PARTIDO ECOLOGISTA VERDE,14341,4.12
2021,PARTIDO PROGRESISTA DE CHILE,2280,0.65
2017,CHILE VAMOS,139992,42.05
2017,CONVERGENCIA DEMOCRATICA,35890,10.780000000000001
2017,INDEPENDIENTES,40668,12.22
2017,LA FUERZA DE LA MAYORIA,81094,24.36
2017,POR TODO CHILE,5615,1.69
2017,SUMEMOS,9853,2.96
